"University","Latitude","Longitude","Color"
"University of Toronto",43.784712,-79.185998,"179AB6"
"University of Alberta",53.523454,-113.525995,"1100BB"
"University of Calgary",51.078160,-114.135801,"5588EE"
"Simon Fraser University",49.278094,-122.919883,"BA0000"
"University of British Columbia",49.266985,-123.253961,"FE3939"
"University of Victoria",48.464912,-123.311338,"FE5C5C"
"Royal Roads University",48.437932,-123.476980,"6B0000"
"Emily Carr University of Art and Design",49.270382,-123.133599,"FE8484"
"University of Saskatchewan",52.138997,-106.623678,"FFBA00"
"University of Manitoba",49.807501,-97.136626,"FFD800"
"Ontario College of Art & Design",43.945826,-78.894626,"257E80"
"Carleton University",45.387581,-75.696020,"9CFF88"
"University of Western Ontario",43.009597,-81.273734,"3ED715"
"University of Waterloo",43.472285,-80.544858,"05E177"
"Ryerson University",43.657689,-79.378233,"54D5CA"
"University of Ottawa",45.420901,-75.679817,"30AD23"
"Wilfrid Laurier University",43.474221,-80.528176,"7DF481"
"University of Ontario Institute of Technology",43.943445,-78.895452,"75DB1B"
"Queen`s University",44.226147,-76.496569,"11772D"
"York University",43.773454,-79.501868,"31BBB0"
"Concordia University",45.458565,-73.640064,"7300AB"
"McGill University",45.504785,-73.577151,"940466"
"University of Montreal",45.505616,-73.613759,"AE1AF7"
"Ecole de technologie superieure de l`universite du Quebec",45.495072,-73.562933,"B50681"
"Dalhousie University",44.636936,-63.589575,"EA8825"
"Nova Scotia College of Art and Design",44.649521,-63.574131,"B96320"
"Memorial University of Newfoundland",47.573797,-52.732905,"AC5330"
"McMaster University",43.260879,-79.919225,"00FF00"
"University of Lethbridge",49.678647,-112.859448,"221177"
"Athabasca University",54.715545,-113.308318,"0033EE"
"University of Canterbury, NZ",-43.523959,172.584245,"B2ACAB"
